year,data_type,value,kind,slope,reg_point,peace_reg_memory,peace_reg,direction_ferme,column_order,avg_loss_mem,avg_loss_no_mem
1752,trade,80112387.99285492,exports,Marseille +0.4%/an,54661016.99592844,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1753,trade,,exports,Marseille +0.4%/an,54891865.07202258,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1754,trade,,exports,Marseille +0.4%/an,55123688.08120715,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1755,trade,63378421.881262034,exports,Marseille +0.4%/an,55356490.140885204,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1756,trade,62265801.88683704,exports,Marseille +0.4%/an,55590275.38584871,74890581.92816487,65518383.91504577,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1757,trade,,exports,Marseille +0.4%/an,55825047.96835137,75712100.35260348,64161728.00815517,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1758,trade,,exports,Marseille +0.4%/an,56060812.05818354,76542630.49125656,62833163.68624761,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1759,trade,33137692.97829555,exports,Marseille +0.4%/an,56297571.84274555,77382271.19886729,61532109.271137156,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1760,trade,30709015.25629021,exports,Marseille +0.4%/an,56535331.52712239,78231122.41457492,60257995.12915271,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1761,trade,31324838.039296355,exports,Marseille +0.4%/an,56774095.334157705,79089285.17380854,59010263.421738334,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1762,trade,32659786.68308642,exports,Marseille +0.4%/an,57013867.504530095,79956861.620314,57788367.86121784,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1763,trade,80018158.06756689,exports,Marseille +0.4%/an,57254652.296826884,80833955.01831111,56591773.47161654,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1764,trade,85798217.6840275,exports,Marseille +0.4%/an,57496453.98762116,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1765,trade,80329111.15383846,exports,Marseille +0.4%/an,57739276.871546924,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1766,trade,68143188.788557,exports,Marseille +0.4%/an,57983125.261375755,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1767,trade,69472438.79399098,exports,Marseille +0.4%/an,58228003.48809261,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1768,trade,71753823.46699028,exports,Marseille +0.4%/an,58473915.90097418,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
